PYTHON vs FORTRAN COMPARISON (First 365 days)
================================================================================

Timestep-by-timestep comparison for key variables:
------------------------------------------------------------------------------------------------------------------------
Step   Time     F_Ts       P_Ts       Diff_Ts    F_Tb       P_Tb       Diff_Tb    F_h_ML     P_h_ML     Diff_h_ML  
241    241.00   16.41050   18.03455   1.62405    8.22128    6.47968    -1.74160   4.40850    1.43944    -2.96906   
242    242.00   16.54470   18.19623   1.65153    8.23210    6.47197    -1.76013   4.40851    1.43945    -2.96906   
243    243.00   17.65270   17.52263   -0.13007   8.23210    6.48312    -1.74898   3.78568    1.57165    -2.21403   
244    244.00   17.46740   16.33452   -1.13288   8.26228    6.50516    -1.75712   3.83908    1.82024    -2.01884   
245    245.00   16.98430   16.62251   -0.36179   8.30666    6.49527    -1.81139   3.96061    1.82025    -2.14036   
246    246.00   17.07690   16.96629   -0.11061   8.31182    6.48325    -1.82857   3.98451    1.82026    -2.16425   
247    247.00   17.24980   17.35709   0.10729    8.31485    6.46942    -1.84543   3.99077    1.82027    -2.17050   
248    248.00   17.47300   17.52963   0.05663    8.31635    6.46332    -1.85303   3.99078    1.82028    -2.17050   
249    249.00   17.58560   17.20180   -0.38380   8.31791    6.46894    -1.84897   3.99079    1.89048    -2.10031   
250    250.00   17.44350   17.22698   -0.21652   8.32434    6.46740    -1.85694   4.03061    1.90197    -2.12864   
251    251.00   17.42670   17.27538   -0.15132   8.32885    6.46502    -1.86383   4.05374    1.91668    -2.13706   
252    252.00   17.41190   15.50406   -1.90784   8.33496    6.50310    -1.83186   4.08643    2.25221    -1.83422   
253    253.00   16.52030   15.11825   -1.40205   8.35503    6.51060    -1.84443   4.24266    2.34952    -1.89314   
254    254.00   16.17160   14.16409   -2.00751   8.36693    6.53054    -1.83639   4.33238    2.56271    -1.76967   
255    255.00   15.44670   13.83969   -1.60701   8.38375    6.53707    -1.84668   4.47800    2.64809    -1.82991   
256    256.00   15.06740   13.71487   -1.35253   8.39432    6.53949    -1.85483   4.57061    2.69114    -1.87947   
257    257.00   14.79840   13.19304   -1.60536   8.40333    6.55022    -1.85311   4.64926    2.82621    -1.82305   
258    258.00   14.31650   13.30556   -1.01094   8.41515    6.54735    -1.86780   4.76566    2.82622    -1.93944   
259    259.00   14.23870   13.89724   -0.34146   8.42052    6.54735    -1.87317   4.80967    2.58694    -2.22273   
260    260.00   14.35870   13.63090   -0.72780   8.42289    6.55404    -1.86885   4.81612    2.65934    -2.15678   
261    261.00   14.19350   13.72836   -0.46514   8.42840    6.55161    -1.87679   4.86591    2.65934    -2.20657   
262    262.00   14.21470   13.85652   -0.35818   8.43174    6.54830    -1.88344   4.88682    2.65935    -2.22747   
263    263.00   14.24990   14.30018   0.05028    8.43513    6.54830    -1.88683   4.90753    2.58434    -2.32319   
264    264.00   14.41810   14.53960   0.12150    8.43599    6.54830    -1.88769   4.90754    2.57254    -2.33500   
265    265.00   14.56250   14.53701   -0.02549   8.43679    6.54824    -1.88855   4.90755    2.58369    -2.32386   
266    266.00   14.55630   14.45298   -0.10332   8.43982    6.54985    -1.88997   4.92621    2.60950    -2.31671   
267    267.00   14.51700   14.36290   -0.15410   8.44285    6.55162    -1.89123   4.94663    2.63270    -2.31393   
268    268.00   14.48660   14.26253   -0.22407   8.44488    6.55362    -1.89126   4.95814    2.65547    -2.30267   
269    269.00   14.46190   14.24393   -0.21797   8.44622    6.55387    -1.89235   4.96350    2.67521    -2.28829   
270    270.00   14.43410   14.21668   -0.21742   8.45062    6.55433    -1.89629   4.99563    2.69381    -2.30182   
271    271.00   14.41170   14.17760   -0.23410   8.45430    6.55500    -1.89930   5.02138    2.71946    -2.30192   
272    272.00   14.36970   13.60186   -0.76784   8.45921    6.56685    -1.89236   5.05902    2.85780    -2.20122   
273    273.00   14.05310   13.35703   -0.69607   8.46718    6.57181    -1.89537   5.13742    2.92341    -2.21401   
274    274.00   13.88080   12.71942   -1.16138   8.47248    6.58502    -1.88746   5.18759    3.10182    -2.08577   
275    275.00   13.44180   12.39691   -1.04489   8.48471    6.59160    -1.89311   5.31940    3.20045    -2.11895   
276    276.00   13.16230   11.91084   -1.25146   8.49282    6.60162    -1.89120   5.41002    3.35285    -2.05717   
277    277.00   12.78820   11.86824   -0.91996   8.50298    6.60247    -1.90051   5.53304    3.37934    -2.15370   
278    278.00   12.70340   11.24932   -1.45408   8.50758    6.61536    -1.89222   5.58368    3.58262    -2.00106   
279    279.00   12.23080   10.80953   -1.42127   8.51902    6.62443    -1.89459   5.73871    3.73561    -2.00310   
280    280.00   11.89160   10.63042   -1.26118   8.52663    6.62807    -1.89856   5.85009    3.79918    -2.05091   
281    281.00   11.67300   10.14562   -1.52738   11.67300   6.63813    -5.03487   5.90000    3.99479    -1.90521   
282    282.00   11.29350   9.87286    -1.42064   11.29350   6.64372    -4.64978   5.90000    4.12041    -1.77959   
283    283.00   11.07640   9.63911    -1.43729   11.07640   6.64851    -4.42789   5.90000    4.24214    -1.65786   
284    284.00   10.86430   9.41417    -1.45013   10.86430   6.65311    -4.21119   5.90000    4.36349    -1.53651   
285    285.00   10.66140   9.44248    -1.21892   10.66140   6.65247    -4.00893   5.90000    4.36350    -1.53650   
286    286.00   10.63990   9.14526    -1.49464   10.63990   6.65858    -3.98132   5.90000    4.51270    -1.38730   
287    287.00   10.35320   8.81632    -1.53688   10.35320   6.66537    -3.68783   5.90000    4.69650    -1.20350   
288    288.00   10.03160   8.68881    -1.34279   10.03160   6.66797    -3.36363   5.90000    4.79086    -1.10914   
289    289.00   9.86538    8.62655    -1.23883   9.86538    6.66923    -3.19615   5.90000    4.83740    -1.06260   
290    290.00   9.77664    8.90371    -0.87293   9.77664    6.66923    -3.10741   5.90000    4.37843    -1.52157   
291    291.00   9.88167    8.91058    -0.97109   9.77664    6.66904    -3.10760   5.86631    4.37844    -1.48787   
292    292.00   9.87852    8.58095    -1.29757   9.77440    6.67591    -3.09849   5.86631    4.61459    -1.25172   
293    293.00   9.58784    8.18654    -1.40130   9.58784    6.68420    -2.90364   5.90000    4.93242    -0.96758   
294    294.00   9.22981    7.87525    -1.35456   9.22981    6.69071    -2.53910   5.90000    5.21764    -0.68236   
295    295.00   8.94545    7.88883    -1.05662   8.94545    6.69042    -2.25503   5.90000    5.21765    -0.68235   
296    296.00   8.91762    7.85121    -1.06641   8.91762    6.69118    -2.22644   5.90000    5.24857    -0.65143   
297    297.00   8.84612    8.02137    -0.82475   8.84612    6.69118    -2.15494   5.90000    4.05034    -1.84966   
298    298.00   8.82434    7.74695    -1.07739   8.82434    6.59424    -2.23010   5.90000    4.92097    -0.97903   
299    299.00   8.60361    7.51743    -1.08618   8.60361    6.55564    -2.04797   5.90000    5.50331    -0.39669   
300    300.00   8.39114    7.41213    -0.97901   8.39114    6.59640    -1.79474   5.90000    5.74225    -0.15775   
301    301.00   8.27343    7.45862    -0.81481   8.27343    6.59640    -1.67703   5.90000    5.64300    -0.25700   
302    302.00   8.29590    7.67615    -0.61975   8.29590    6.59222    -1.70368   5.90000    5.77568    -0.12432   
303    303.00   8.45078    7.52094    -0.92984   8.45078    7.52094    -0.92984   5.90000    5.90000    0.00000    
304    304.00   8.24702    7.21980    -1.02722   8.24702    7.21980    -1.02722   5.90000    5.90000    0.00000    
305    305.00   7.90253    6.58489    -1.31764   7.90253    6.58489    -1.31764   5.90000    5.90000    0.00000    
306    306.00   7.21843    5.78812    -1.43031   7.21843    5.78812    -1.43031   5.90000    5.90000    0.00000    
307    307.00   6.37582    5.07995    -1.29587   6.37582    5.07995    -1.29587   5.90000    5.90000    0.00000    
308    308.00   5.64121    4.54785    -1.09336   5.64121    4.54785    -1.09336   5.90000    5.90000    0.00000    
309    309.00   5.10102    4.05149    -1.04953   5.10102    4.05149    -1.04953   5.90000    5.90000    0.00000    
310    310.00   4.59504    3.63694    -0.95810   4.59504    3.63694    -0.95810   5.90000    5.90000    0.00000    
311    311.00   4.16161    3.36524    -0.79637   4.16161    3.36524    -0.79637   5.90000    5.90000    0.00000    
312    312.00   3.88414    3.21168    -0.67246   3.88414    3.36524    -0.51890   5.90000    5.80271    -0.09729   
313    313.00   3.73888    2.99231    -0.74657   3.73888    3.36524    -0.37364   5.90000    4.23847    -1.66153   
314    314.00   3.57554    2.84606    -0.72948   3.57554    2.84606    -0.72948   5.90000    5.90000    0.00000    
315    315.00   3.36118    2.66160    -0.69958   3.36118    2.66160    -0.69958   5.90000    5.90000    0.00000    
316    316.00   3.16710    2.58356    -0.58354   3.16710    2.58356    -0.58354   5.90000    5.90000    0.00000    
317    317.00   3.07265    2.46628    -0.60637   3.07265    2.46628    -0.60637   5.90000    5.90000    0.00000    
318    318.00   2.93780    2.58820    -0.34960   2.93780    2.58820    -0.34960   5.90000    5.90000    0.00000    
319    319.00   3.04058    2.70018    -0.34040   3.04058    2.70018    -0.34040   5.90000    5.90000    0.00000    
320    320.00   3.14043    2.74433    -0.39610   3.14043    2.74433    -0.39610   5.90000    5.90000    0.00000    
321    321.00   3.20023    2.79676    -0.40347   3.20023    2.79676    -0.40347   5.90000    5.90000    0.00000    
322    322.00   3.26873    3.21592    -0.05281   3.26873    3.21592    -0.05281   5.90000    5.90000    0.00000    
323    323.00   3.65127    3.14697    -0.50430   3.65127    3.14697    -0.50430   5.90000    5.90000    0.00000    
324    324.00   3.54898    3.01036    -0.53862   3.54898    3.14697    -0.40201   5.90000    0.01000    -5.89000   
325    325.00   3.44273    3.04147    -0.40126   3.54898    3.14697    -0.40201   0.02437    0.01000    -0.01437   
326    326.00   3.50216    3.09322    -0.40894   3.54898    3.09322    -0.45576   0.01000    5.90000    5.89000    
327    327.00   3.53979    3.15463    -0.38516   3.53979    3.15463    -0.38516   5.90000    5.90000    0.00000    
328    328.00   3.62241    3.20250    -0.41991   3.62241    3.20250    -0.41991   5.90000    5.90000    0.00000    
329    329.00   3.68860    3.19084    -0.49776   3.68860    3.20250    -0.48610   5.90000    0.01000    -5.89000   
330    330.00   3.70182    3.10318    -0.59864   3.70182    3.10318    -0.59864   5.90000    5.90000    0.00000    
331    331.00   3.58483    2.73147    -0.85336   3.58483    2.73147    -0.85336   5.90000    5.90000    0.00000    
332    332.00   3.19031    2.58956    -0.60075   3.19031    2.73147    -0.45884   5.90000    5.72020    -0.17980   
333    333.00   3.05344    2.43902    -0.61442   3.05344    2.73147    -0.32197   5.90000    2.59529    -3.30471   
334    334.00   2.99342    2.22913    -0.76429   2.99342    2.22913    -0.76429   5.90000    5.90000    0.00000    
335    335.00   2.67090    1.87700    -0.79390   2.67090    1.87700    -0.79390   5.90000    5.90000    0.00000    
336    336.00   2.30497    1.38487    -0.92010   2.30497    1.38487    -0.92010   5.90000    5.90000    0.00000    
337    337.00   1.80102    1.03369    -0.76733   1.80102    1.03369    -0.76733   5.90000    5.90000    0.00000    
338    338.00   1.43575    0.66490    -0.77085   1.43575    0.66490    -0.77085   5.90000    5.90000    0.00000    
339    339.00   1.06410    0.06225    -1.00185   1.06410    0.06225    -1.00185   5.90000    5.90000    0.00000    
340    340.00   0.44819    0.00000    -0.44819   0.44819    0.00000    -0.44819   5.90000    5.90000    0.00000    
341    341.00   0.00000    0.00000    0.00000    0.00000    0.31173    0.31173    5.90000    0.00000    -5.90000   
342    342.00   0.00000    0.00000    0.00000    0.31727    0.34350    0.02623    0.00000    0.00000    0.00000    
343    343.00   0.00000    0.00000    0.00000    0.35567    0.37273    0.01706    0.00000    0.00000    0.00000    
344    344.00   0.00000    0.00000    0.00000    0.39154    0.39990    0.00836    0.00000    0.00000    0.00000    
345    345.00   0.00000    0.00000    0.00000    0.42526    0.42534    0.00008    0.00000    0.00000    0.00000    
346    346.00   0.00000    0.00000    0.00000    0.45711    0.44931    -0.00780   0.00000    0.00000    0.00000    
347    347.00   0.00000    0.00000    0.00000    0.48733    0.47199    -0.01534   0.00000    0.00000    0.00000    
348    348.00   0.00000    0.00000    0.00000    0.51611    0.49356    -0.02255   0.00000    0.00000    0.00000    
349    349.00   0.00000    0.00000    0.00000    0.54360    0.51414    -0.02946   0.00000    0.00000    0.00000    
350    350.00   0.00000    0.00000    0.00000    0.56992    0.53383    -0.03609   0.00000    0.00000    0.00000    
351    351.00   0.00000    0.00000    0.00000    0.59518    0.55272    -0.04246   0.00000    0.00000    0.00000    
352    352.00   0.00000    0.00000    0.00000    0.61948    0.57088    -0.04860   0.00000    0.00000    0.00000    
353    353.00   0.00000    0.00000    0.00000    0.64290    0.58837    -0.05453   0.00000    0.00000    0.00000    
354    354.00   0.00000    0.00000    0.00000    0.66550    0.60526    -0.06024   0.00000    0.00000    0.00000    
355    355.00   0.00000    0.00000    0.00000    0.68735    0.62159    -0.06576   0.00000    0.00000    0.00000    
356    356.00   0.00000    0.00000    0.00000    0.70850    0.63739    -0.07111   0.00000    0.00000    0.00000    
357    357.00   0.00000    0.00000    0.00000    0.72900    0.65272    -0.07628   0.00000    0.00000    0.00000    
358    358.00   0.00000    0.00000    0.00000    0.74889    0.66759    -0.08130   0.00000    0.00000    0.00000    
359    359.00   0.00000    0.00000    0.00000    0.76821    0.68204    -0.08617   0.00000    0.00000    0.00000    
360    360.00   0.00000    0.00000    0.00000    0.78699    0.69610    -0.09089   0.00000    0.00000    0.00000    
361    361.00   0.00000    0.00000    0.00000    0.80526    0.70978    -0.09548   0.00000    0.00000    0.00000    
362    362.00   0.00000    0.00000    0.00000    0.82305    0.72312    -0.09993   0.00000    0.00000    0.00000    
363    363.00   0.00000    0.00000    0.00000    0.84040    0.73612    -0.10428   0.00000    0.00000    0.00000    
364    364.00   0.00000    0.00000    0.00000    0.85731    0.74881    -0.10850   0.00000    0.00000    0.00000    
