PYTHON vs FORTRAN COMPARISON (First 365 days)
================================================================================

Timestep-by-timestep comparison for key variables:
------------------------------------------------------------------------------------------------------------------------
Step   Time     F_Ts       P_Ts       Diff_Ts    F_Tb       P_Tb       Diff_Tb    F_h_ML     P_h_ML     Diff_h_ML  
56     56.00    0.00000    0.00000    0.00000    0.67024    0.62163    -0.04861   2.03158    1.65492    -0.37666   
57     57.00    0.00000    0.00000    0.00000    0.67798    0.62878    -0.04920   2.03158    1.65492    -0.37666   
58     58.00    0.00000    0.00000    0.00000    0.68569    0.63591    -0.04978   2.03158    1.65492    -0.37666   
59     59.00    0.00000    0.00000    0.00000    0.69339    0.64304    -0.05035   2.03158    1.65492    -0.37666   
60     60.00    0.00000    0.00000    0.00000    0.70107    0.65014    -0.05093   2.03158    1.65492    -0.37666   
61     61.00    0.00000    0.00000    0.00000    0.70874    0.65723    -0.05151   2.03158    1.65492    -0.37666   
62     62.00    0.00000    0.00000    0.00000    0.71638    0.66431    -0.05207   2.03158    1.65492    -0.37666   
63     63.00    0.00000    0.00000    0.00000    0.72401    0.67137    -0.05264   2.03158    1.65492    -0.37666   
64     64.00    0.00000    0.00000    0.00000    0.73162    0.67841    -0.05321   2.03158    1.65492    -0.37666   
65     65.00    0.00000    0.00000    0.00000    0.73921    0.68544    -0.05377   2.03158    1.65492    -0.37666   
66     66.00    0.00000    0.00000    0.00000    0.74678    0.69246    -0.05432   2.03158    1.65492    -0.37666   
67     67.00    0.00000    0.00000    0.00000    0.75434    0.69946    -0.05488   2.03158    1.65492    -0.37666   
68     68.00    0.00000    0.00000    0.00000    0.76188    0.70645    -0.05543   2.03158    1.65492    -0.37666   
69     69.00    0.00000    0.00000    0.00000    0.76940    0.71342    -0.05598   2.03158    1.65492    -0.37666   
70     70.00    0.00000    0.00000    0.00000    0.77690    0.72038    -0.05652   2.03158    1.65492    -0.37666   
71     71.00    0.00000    0.00000    0.00000    0.78439    0.72732    -0.05707   2.03158    1.65492    -0.37666   
72     72.00    0.00000    0.00000    0.00000    0.79186    0.73425    -0.05761   2.03158    1.65492    -0.37666   
73     73.00    0.00000    0.00000    0.00000    0.79931    0.74116    -0.05815   2.03158    1.65492    -0.37666   
74     74.00    0.00000    0.00000    0.00000    0.80675    0.74806    -0.05869   2.03158    1.65492    -0.37666   
75     75.00    0.00000    0.00000    0.00000    0.81416    0.75494    -0.05922   2.03158    1.65492    -0.37666   
76     76.00    0.00000    0.00000    0.00000    0.82156    0.76181    -0.05975   2.03158    1.65492    -0.37666   
77     77.00    0.00000    0.00000    0.00000    0.82895    0.76866    -0.06029   2.03158    1.65492    -0.37666   
78     78.00    0.00000    0.00000    0.00000    0.83631    0.77550    -0.06081   2.03158    1.65492    -0.37666   
79     79.00    0.00000    0.00000    0.00000    0.84366    0.78233    -0.06133   2.03158    1.65492    -0.37666   
80     80.00    0.00000    0.00000    0.00000    0.85099    0.78914    -0.06185   2.03158    1.65492    -0.37666   
81     81.00    0.00000    0.00000    0.00000    0.85831    0.79594    -0.06237   2.03158    1.65492    -0.37666   
82     82.00    0.00000    0.00000    0.00000    0.86560    0.80272    -0.06288   2.03158    1.65492    -0.37666   
