,No,time,Ts,Tm,Tb,ufr_a,ufr_w,Wconv,Qw,Q_se,Q_la,I_w,Q_lwa,Q_lww,h_ML,C_T,H_B1,T_B1,Qbot,H_ice,H_snow,T_ice,T_snow
count,6210.0,6210.0,6210.0,6210.0,6210.0,6210.0,6210.0,6210.0,6210.0,6210.0,6210.0,6210.0,6210.0,6210.0,6210.0,6210.0,6210.0,6210.0,6210.0,6210.0,6210.0,6210.0,6210.0
mean,3104.5,3104.5,9.174872073462108,9.174872073462108,4.321737051324412,0.12117595788157982,0.00429757631778815,0.0019172811815293953,-97.35432042308848,-4.728786894976608,-36.53323597196668,97.12608863333331,0.0,-356.0468657413703,3.120859808282639,0.577304358814454,3.0232922524865757,3.773162189792111,0.2053084107217355,0.05249395297965897,0.0,-0.5521382767716405,-0.5521382767716405
std,1792.8169175908622,1792.8169175908622,7.9404556151992445,7.9404556151992445,2.6308018956653654,0.11207529001987283,0.003960818812542893,0.0020856586054921362,88.94240659328541,22.491801708574354,45.79984732552469,90.37717033538894,0.0,44.8478194894752,2.01109613903389,0.09178076486551996,1.455220475223765,1.0819387418996744,1.8019136294836255,0.14485040019866544,0.0,3.1795065275863736,3.1795065275863736
min,0.0,0.0,0.0,0.0,0.0,0.0,2.3291198838935227e-05,0.0,-544.1717846814317,-173.17569185340616,-310.97394370547664,0.0,0.0,-456.75718798970223,0.0,0.5,0.03887156133368813,0.44055528597442617,-20.41586103225481,0.0,0.0,-59.09792224386484,-59.09792224386484
25%,1552.25,1552.25,0.8611359102573033,0.8611359102573033,1.8118977183809193,0.0,0.0001238207463025927,0.0,-157.49242264430688,-13.387659879760763,-57.574633180957264,12.055589999999999,0.0,-395.1866011718674,1.712603866173283,0.5,1.988183507648928,3.206953033424142,-0.7509570582915559,0.0,0.0,0.0,0.0
50%,3104.5,3104.5,8.11034906735324,8.11034906735324,4.597061742616972,0.10463013336191519,0.0036708748075858283,0.0013742250382115656,-86.45285142399993,-0.8496938643052858,-21.978666886712322,75.13191,0.0,-351.2790902849531,2.7937042394316602,0.5029283887090583,2.970502673327288,4.0,0.529820200111337,0.0,0.0,0.0,0.0
75%,4656.75,4656.75,16.51497768092544,16.51497768092544,6.219665218629558,0.1839653134592948,0.006467013897188539,0.003694589035325915,-10.40140986043135,0.12498199981253998,-0.03257474513118944,168.239604,0.0,-316.4493177410031,5.482184124050245,0.6829017409690997,5.0,4.061442490870533,1.1518816515370685,0.0,0.0,0.0,0.0
max,6209.0,6209.0,27.19249504313848,27.19249504313848,11.13545014339968,1.1026817952529093,0.0393916490795006,0.008986960845377815,198.6553935001181,245.59347712305163,138.14776593675458,340.03125,0.0,-117.84089835032724,5.9,0.718282,5.0,10.354303893693384,17.68533472029027,0.7773551324458483,0.0,0.0,0.0
