time,stratification,thermocline_depth,stability,surface_temp,bottom_temp,mixed_layer_depth
0,0.0,0.2383838383838384,0.0,4.0,4.0,3.0
31,-0.4378368479133314,5.184848484848485,0.00028320417577351364,0.0,0.4378368479133314,1.654923726097439
62,-0.6643071852253684,3.9333333333333336,0.00042969103616745857,0.0,0.6643071852253684,1.654923726097439
93,0.0,0.2383838383838384,0.0,0.4575342412516079,0.4575342412516079,5.9
124,2.4988853708889573,5.9,-0.0008056696944948545,8.245337377295698,5.746452006406741,4.066305972151308
156,11.621986626977897,5.9,-0.006384016423336168,17.28659534732361,5.664608720345711,2.070269630075351
187,13.776526047775636,5.9,-0.008120511762624722,19.8538155802317,6.077289532456064,1.626360213944013
218,12.862089208804893,5.9,-0.007527109278871815,19.15044591816201,6.288356709357117,1.89154030225752
249,10.732860489229836,5.9,-0.00628163624946219,17.2018042668318,6.468943777601964,1.890475486157079
280,4.0023503260596875,5.9,-0.0015901739989224325,10.63041704840396,6.628066722344272,3.79918344426813
312,-0.153567551516403,5.9,2.1246646828436064e-06,3.211677099900783,3.365244651417186,5.802711260948135
343,-0.3727312089857833,4.231313131313131,0.0002163248165684003,0.0,0.3727312089857833,0.0
374,-0.5862843341476491,4.827272727272727,0.0003348340426643362,0.0,0.5862843341476491,2.954647440567113
405,-1.158103290661643,5.184848484848485,0.0006614067339849008,0.0,1.158103290661643,2.954647440567113
436,-1.510202539203135,5.006060606060606,0.0008624948544437565,0.0,1.510202539203135,2.954647440567113
468,4.751355153773318,1.9070707070707071,-0.0030592464228132465,9.123493015973509,4.372137862200191,1.803567579395777
499,8.799423087635265,5.542424242424243,-0.005633608190490361,16.58822921268069,7.788806125045426,0.9328676762141934
530,10.828162116696948,5.9,-0.003984435008156309,17.53584257680342,6.707680460106474,3.565232990497748
561,13.677839751622397,5.9,-0.007016290556059107,19.89020666134797,6.212366909725574,2.465849087467251
592,15.19456912167794,5.9,-0.008592943927379392,21.42649101637215,6.23192189469421,1.874677906526499
624,7.956621071699718,5.9,-0.0040492430030430165,14.77828506577129,6.821663994071571,2.893138492454944
655,1.08394044780988,5.9,-0.0001483924140606283,8.158233850402667,7.074293402592787,5.238896010149958
686,0.0,0.2383838383838384,0.0,3.743012996147741,3.743012996147741,5.9
717,-0.3717914949593251,4.41010101010101,0.00021577942766749903,0.0,0.3717914949593251,0.0
748,-0.9578676416573444,3.2181818181818183,0.0005559248511605977,0.0,0.9578676416573444,0.0
780,-1.276214031011591,5.602020202020202,0.0007406859407126571,0.0,1.276214031011591,0.0
811,-1.482476663799957,4.231313131313131,0.0008603961370342124,0.0,1.482476663799957,0.0
842,1.0519112729212452,5.9,-0.00023201859299384957,6.276627697528113,5.224716424606868,4.562323891044165
873,11.598274471139977,5.9,-0.006229160361812955,17.54104010162462,5.942765630484644,1.778428165706284
904,15.022589401921948,5.9,-0.008411149900816654,19.99782935908047,4.975239957158522,1.752084382204975
936,19.677486119018567,5.9,-0.010848464248868107,24.64108400178793,4.963597882769363,2.086703312138338
967,13.204290272721831,5.9,-0.007032496011838947,18.74943384202481,5.545143569302979,2.540181224984131
998,10.48806978549555,5.9,-0.005243122879589424,16.37926310583003,5.89119332033448,2.980525409691123
1029,2.774453502560675,5.9,-0.0010483211453681507,8.881614433711889,6.107160931151213,3.908416202455754
1060,0.0,0.595959595959596,0.0,4.208786668243818,4.208786668243818,5.9
1092,0.0,4.171717171717172,0.0,1.719694224331249,1.719694224331249,5.9
1123,0.0,0.595959595959596,0.0,1.910378088893481,1.910378088893481,5.9
1154,-1.115799382128955,4.052525252525252,0.0007146300920573926,0.0,1.115799382128955,1.921833940100032
1185,0.0,0.5363636363636364,0.0,3.963680623850053,3.963680623850053,5.9
1216,4.029634871447515,5.9,-0.0020258422811338756,11.89992027982885,7.870285408381335,2.037466658770907
1248,11.1640096963759,5.9,-0.006126467495113383,18.69585945456788,7.531849758191981,1.539269567727622
1279,15.429083908502943,5.9,-0.008718391226368409,21.62827499410565,6.199191085602706,1.482464078027921
1310,13.586121817783464,5.9,-0.006893801715600275,19.5117974582966,5.925675640513134,2.538930392481334
1341,12.737930779663028,5.9,-0.006372309728833373,18.75547350021679,6.017542720553763,2.744677433919866
1372,5.175811830705351,5.9,-0.0023620777344519417,11.77097669067444,6.595164859969088,3.360721316067384
1404,0.0,0.2383838383838384,9.27524723692841e-18,6.201084832941035,6.201084832941035,5.9
1435,-1.0177602739118468,5.780808080808081,0.0003989774642829855,0.3160960839720133,1.33385635788386,4.205119824145967
