variable,test_mean,excel_mean,test_std,excel_std,mean_diff,abs_mean_diff,max_diff,rmse,correlation,rel_diff_pct,assessment
C_T,0.5872589466988728,0.577304358814454,0.10083430582392487,0.09177337481237657,0.009954587884418869,0.04236866339123957,0.21828199999999998,0.07843557972163344,0.6773823498927097,7.214647580833679,Very Good
H_B1,3.130211225909823,3.0232922524865757,1.5329724435129726,1.455103302996414,0.10691897342324713,0.973919930842555,4.9508045,1.5787011978164183,0.4452691440066855,31.11355306571929,Fair
H_ice,0.04539712134347826,0.05249395297965897,0.13322215457228917,0.14483873705599193,-0.007096831636180708,0.007396334241238946,0.15550593042835759,0.02023189067102716,0.994195104089924,16.292518164924356,Very Good
H_snow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,Excellent
I_w,98.19535281964572,97.12608863333331,89.7703049721892,90.36989329762721,1.0692641863124008,1.1930698101449277,232.069,11.097450451593168,0.9925023062315808,1.2149962048980316,Poor
Q_la,-37.73029202945083,-36.53323597196668,45.72936890186412,45.7961595887076,-1.1970560574841427,6.896902501799455,162.98057955665791,13.33627756655963,0.9578797602785842,18.279483488799915,Poor
Q_lwa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,Excellent
Q_lww,-357.2815463768116,-356.0468657413703,43.68977953446218,44.84420840854906,-1.2346806354412965,3.4982590519185486,77.71213972107623,5.0455345510322855,0.9942323679897767,0.9791323082298419,Fair
Q_se,-6.102993074965379,-4.728786894976607,22.601707863250525,22.489990701549512,-1.374206179988771,4.0019981961180955,142.3364771230516,7.627280406612577,0.944645748137875,65.57435256701152,Fair
Qbot,-0.06005714354589368,0.2053084107217355,2.721557751475229,1.8017685420298306,-0.26536555426762926,0.8302923470124911,134.3608815635158,2.283869615445453,0.5615859447519321,1382.5038921107016,Fair
Qw,-98.450957886533,-97.35432042308848,88.70715767576566,88.93524508060476,-1.0966374634445353,12.679164646980325,182.016,22.47067576681255,0.9680780629865615,12.878660522118388,Poor
T_B1,4.328099076006442,3.773162189792111,1.0807409285707612,1.081851625772322,0.5549368862143301,0.6513151645753256,6.3543038936933804,1.0374415849318341,0.6714300434410475,15.0485271510073,Fair
T_ice,-0.4995951734164251,-0.5521382767716405,3.092168942225206,3.1792505183643645,0.05254310335521534,0.7249414947106507,57.34829891825328,4.024741581015237,0.17665733091060326,145.10578429996036,Fair
T_snow,-0.4995951734164251,-0.5521382767716405,3.092168942225206,3.1792505183643645,0.05254310335521534,0.7249414947106507,57.34829891825328,4.024741581015237,0.17665733091060326,145.10578429996036,Fair
Tb,5.34092187905475,4.321737051324412,3.2825289936532536,2.630590067338949,1.0191848277303381,1.3019273820021822,9.659911134356694,1.933541195839008,0.8682789463381211,24.376454317893913,Fair
Tm,8.53888283831401,9.174872073462108,6.625799739541199,7.939816261309953,-0.6359892351480996,1.3440355788465481,9.040679612655861,2.0180340696891306,0.9815488771603339,15.740180586807606,Fair
Ts,9.389670096111917,9.174872073462108,7.762396318144827,7.939816261309953,0.21479802264980702,0.7620534051922537,7.0622796126558605,1.0859716854330843,0.991062123039852,8.115869859025244,Fair
Wconv,0.0025173591495974237,0.0019172811815293953,0.0026350757813507083,0.002085490671307276,0.0006000779680680282,0.0008578669883856054,0.0060671,0.001308048386535687,0.9045703437573576,34.078053126539196,Excellent
h_ML,4.424180096586151,3.120859808282639,1.6241493191034087,2.010934208509932,1.3033202883035129,1.582922907969183,5.9,2.168940494258024,0.562766943296055,35.7788985396553,Fair
ufr_a,0.12410799561191627,0.12117595788157982,0.11218353653356557,0.11206626588120368,0.002932037730336441,0.006455656342671917,0.391001,0.030714627433977747,0.9628230002441406,5.201644189677071,Very Good
ufr_w,0.004369433880048309,0.00429757631778815,0.003937381813268883,0.003960499893196787,7.185756226015928e-05,0.00023219628967345408,0.013804079481383355,0.0010667874291597637,0.9636931689778409,5.314104665451234,Excellent
